ROI #,angle of global coherency,angle of global coherency in degree,subfolder,age
1,1.1316,64.8339,RHO_KO_1month_Tier1,RhoKO
2,0.54038,30.9617,RHO_KO_1month_Tier1,RhoKO
3,1.5591,89.3308,RHO_KO_1month_Tier1,RhoKO
4,-1.5412,91.6954,RHO_KO_1month_Tier1,RhoKO
5,1.3475,77.2038,RHO_KO_1month_Tier1,RhoKO
6,1.1486,65.8125,RHO_KO_1month_Tier1,RhoKO
7,1.429,81.8739,RHO_KO_1month_Tier1,RhoKO
1,1.5574,89.2311,RHO_KO_1month_Tier1,RhoKO
2,1.5566,89.1874,RHO_KO_1month_Tier1,RhoKO
3,0.023674,1.3564,RHO_KO_1month_Tier1,RhoKO
4,1.0712,61.3744,RHO_KO_1month_Tier1,RhoKO
5,1.361,77.9816,RHO_KO_1month_Tier1,RhoKO
6,0.98446,56.4051,RHO_KO_1month_Tier1,RhoKO
1,-1.4339,97.8446,RHO_KO_1month_Tier1,RhoKO
2,-1.5659,90.2819,RHO_KO_1month_Tier1,RhoKO
3,-1.0161,121.7823,RHO_KO_1month_Tier1,RhoKO
4,1.1448,65.5913,RHO_KO_1month_Tier1,RhoKO
5,1.5482,88.7026,RHO_KO_1month_Tier1,RhoKO
6,0.68533,39.2667,RHO_KO_1month_Tier1,RhoKO
7,0.64608,37.0174,RHO_KO_1month_Tier1,RhoKO
8,-0.25973,165.1185,RHO_KO_1month_Tier1,RhoKO
9,0.62046,35.5498,RHO_KO_1month_Tier1,RhoKO
