ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,1.1662,66.8194,WT_1month,G44_1_WT_I1_004_M.bmp,WT
2,1.2173,69.7455,WT_1month,G44_1_WT_I1_004_M.bmp,WT
3,1.1369,65.1412,WT_1month,G44_1_WT_I1_004_M.bmp,WT
4,1.2294,70.4376,WT_1month,G44_1_WT_I1_004_M.bmp,WT
5,1.0746,61.571,WT_1month,G44_1_WT_I1_004_M.bmp,WT
6,1.2243,70.1497,WT_1month,G44_1_WT_I1_004_M.bmp,WT
7,1.0939,62.6777,WT_1month,G44_1_WT_I1_004_M.bmp,WT
8,0.79113,45.3282,WT_1month,G44_1_WT_I1_004_M.bmp,WT
1,1.1114,63.6795,WT_1month,G44_1_WT_I1_018_M.bmp,WT
2,0.93803,53.745,WT_1month,G44_1_WT_I1_018_M.bmp,WT
3,1.0779,61.7573,WT_1month,G44_1_WT_I1_018_M.bmp,WT
4,1.5334,87.8562,WT_1month,G44_1_WT_I1_018_M.bmp,WT
5,1.2029,68.9236,WT_1month,G44_1_WT_I1_018_M.bmp,WT
6,1.3467,77.1611,WT_1month,G44_1_WT_I1_018_M.bmp,WT
7,1.4125,80.9326,WT_1month,G44_1_WT_I1_018_M.bmp,WT
8,1.5369,88.0558,WT_1month,G44_1_WT_I1_018_M.bmp,WT
9,1.2095,69.2989,WT_1month,G44_1_WT_I1_018_M.bmp,WT
10,1.147,65.716,WT_1month,G44_1_WT_I1_018_M.bmp,WT
11,1.2324,70.6125,WT_1month,G44_1_WT_I1_018_M.bmp,WT
