ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age,,
1,0.79996,45.8342,P12_Tier1,H53_21_P12_K10_003_M.bmp,P12,,
2,0.62942,36.0633,P12_Tier1,H53_21_P12_K10_003_M.bmp,P12,,
3,0.60864,34.8726,P12_Tier1,H53_21_P12_K10_003_M.bmp,P12,,
4,0.14642,8.3894,P12_Tier1,H53_21_P12_K10_003_M.bmp,P12,,
5,-0.54152,148.9731,P12_Tier1,H53_21_P12_K10_003_M.bmp,P12,,
6,-0.97525,124.1223,P12_Tier1,H53_21_P12_K10_003_M.bmp,P12,,
7,0.66505,38.1048,P12_Tier1,H53_21_P12_K10_003_M.bmp,P12,,
1,-0.053993,176.9064,P12_Tier1,H53_21_P12_K10_011_M.bmp,P12,,
2,0.33964,19.46,P12_Tier1,H53_21_P12_K10_011_M.bmp,P12,,
3,-0.49236,151.7896,P12_Tier1,H53_21_P12_K10_011_M.bmp,P12,,
4,0.92305,52.8869,P12_Tier1,H53_21_P12_K10_011_M.bmp,P12,,
5,-1.1008,116.9291,P12_Tier1,H53_21_P12_K10_011_M.bmp,P12,,
6,-0.65399,142.5292,P12_Tier1,H53_21_P12_K10_011_M.bmp,P12,,
7,1.5245,87.3466,P12_Tier1,H53_21_P12_K10_011_M.bmp,P12,,
1,0.81887,46.9177,P12_Tier1,H53_21_P12_K10_021_M.bmp,P12,,
2,1.0765,61.6776,P12_Tier1,H53_21_P12_K10_021_M.bmp,P12,,
3,1.4773,84.6409,P12_Tier1,H53_21_P12_K10_021_M.bmp,P12,,
4,-1.2371,109.1166,P12_Tier1,H53_21_P12_K10_021_M.bmp,P12,,
5,0.32985,18.8988,P12_Tier1,H53_21_P12_K10_021_M.bmp,P12,,
6,-0.01857,178.936,P12_Tier1,H53_21_P12_K10_021_M.bmp,P12,,
7,0.82788,47.434,P12_Tier1,H53_21_P12_K10_021_M.bmp,P12,,
8,1.0069,57.6918,P12_Tier1,H53_21_P12_K10_021_M.bmp,P12,,
9,-0.51651,150.4063,P12_Tier1,H53_21_P12_K10_021_M.bmp,P12,,
10,1.4361,82.2822,P12_Tier1,H53_21_P12_K10_021_M.bmp,P12,,
