ROI #,angle of global coherency,angle of global coherency in degree,subfolder,age
1,-0.12446,172.8688,P16_WT_fem,P16
2,-0.74186,137.4946,P16_WT_fem,P16
3,-0.028713,178.3549,P16_WT_fem,P16
4,0.22355,12.8084,P16_WT_fem,P16
5,-0.09817,174.3753,P16_WT_fem,P16
6,0.38732,22.192,P16_WT_fem,P16
7,0.27161,15.5623,P16_WT_fem,P16
8,0.32941,18.874,P16_WT_fem,P16
9,0.43443,24.8909,P16_WT_fem,P16
10,0.26638,15.2626,P16_WT_fem,P16
11,0.33545,19.2197,P16_WT_fem,P16
1,0.99967,57.2771,P16_WT_fem,P16
2,-0.090895,174.7921,P16_WT_fem,P16
3,0.48922,28.0305,P16_WT_fem,P16
4,0.88692,50.817,P16_WT_fem,P16
5,0.4545,26.0412,P16_WT_fem,P16
6,0.89723,51.4077,P16_WT_fem,P16
7,0.51873,29.7211,P16_WT_fem,P16
8,0.33002,18.9087,P16_WT_fem,P16
9,0.42096,24.1193,P16_WT_fem,P16
