ROI #,angle of global coherency,angle of global coherency in degree,subfolder,input image,age
1,1.032,59.1276,P20_Tier2,G77_12_P20_F4_006_M.bmp,P20
2,0.85556,49.0199,P20_Tier2,G77_12_P20_F4_006_M.bmp,P20
3,0.8495,48.6726,P20_Tier2,G77_12_P20_F4_006_M.bmp,P20
4,0.79155,45.3523,P20_Tier2,G77_12_P20_F4_006_M.bmp,P20
5,0.58912,33.7541,P20_Tier2,G77_12_P20_F4_006_M.bmp,P20
1,0.63872,36.5958,P20_Tier2,G77_12_P20_F4_002_M.bmp,P20
2,0.70584,40.4415,P20_Tier2,G77_12_P20_F4_002_M.bmp,P20
3,0.63926,36.627,P20_Tier2,G77_12_P20_F4_002_M.bmp,P20
4,0.86209,49.3943,P20_Tier2,G77_12_P20_F4_002_M.bmp,P20
5,0.74482,42.6749,P20_Tier2,G77_12_P20_F4_002_M.bmp,P20
6,1.2571,72.027,P20_Tier2,G77_12_P20_F4_002_M.bmp,P20
7,0.73154,41.9142,P20_Tier2,G77_12_P20_F4_002_M.bmp,P20
8,0.56879,32.5895,P20_Tier2,G77_12_P20_F4_002_M.bmp,P20
9,0.53665,30.7479,P20_Tier2,G77_12_P20_F4_002_M.bmp,P20
1,0.87771,50.2888,P20_Tier2,G77_12_P20_F4_003_M.bmp,P20
2,0.78764,45.1282,P20_Tier2,G77_12_P20_F4_003_M.bmp,P20
3,0.85622,49.0575,P20_Tier2,G77_12_P20_F4_003_M.bmp,P20
1,1.0069,57.6924,P20_Tier2,G77_12_P20_F4_005_M.bmp,P20
2,0.83805,48.0166,P20_Tier2,G77_12_P20_F4_005_M.bmp,P20
3,0.78653,45.0651,P20_Tier2,G77_12_P20_F4_005_M.bmp,P20
